Date,Open,High,Low,Close,Adj Close,Volume
2020-12-14,368.64,369.8,364.47,364.66,341.91,69216200
2020-12-11,364.9,366.74,363.26,366.3,343.45,57698600
2020-12-10,365.37,367.86,364.43,366.73,343.85,57735400
2020-12-09,370.88,371.05,365.95,366.85,343.96,74098300
2020-12-08,367.72,370.78,367.67,370.17,347.07,42458900
2020-12-07,369.02,369.62,367.72,369.09,346.06,48944300
2020-12-04,367.32,369.85,367.22,369.85,346.77,50749900
2020-12-03,366.68,368.19,365.5,366.69,343.81,62882000
2020-12-02,364.82,366.96,364.2,366.79,343.91,45927000
2020-12-01,365.57,367.68,364.93,366.02,343.18,74231400
2020-11-30,362.83,363.12,359.17,362.06,339.47,83872700
2020-11-27,363.84,364.18,362.58,363.67,340.98,28514100
2020-11-25,363.13,363.16,361.48,362.66,340.03,45330900
2020-11-24,360.21,363.81,359.29,363.22,340.56,62415900
2020-11-23,357.28,358.82,354.87,357.46,335.16,63230600
2020-11-20,357.5,357.72,355.25,355.33,333.16,70417300
2020-11-19,355.6,358.18,354.15,357.78,335.46,59940900
2020-11-18,360.91,361.5,356.24,356.28,334.05,70591300
2020-11-17,359.97,361.92,358.34,360.62,338.12,66111000
